Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
May 31 2023,Harford,MD,Passenger,2,1,3,55,58,5.17
June 30 2021,Fulton,GA,Passenger,0,1,1,99,100,1
March 31 2021,Goochland,VA,Passenger,4,3,7,290,297,2.36
July 31 2022,Anchorage,AK,Passenger,1,0,1,156,157,0.64
March 31 2022,Howard,IN,Passenger,0,1,1,6,7,14.29
May 31 2019,Saratoga,NY,Passenger,1,0,1,58,59,1.69
May 31 2023,Douglas,NE,Passenger,2,1,3,37,40,7.5
May 31 2019,Kootenai,ID,Passenger,1,2,3,241,244,1.23
January 31 2024,Twin Falls,ID,Passenger,0,1,1,21,22,4.55
October 31 2024,Baldwin,AL,Passenger,1,0,1,23,24,4.17
September 30 2023,Pacific,WA,Truck,5,0,5,7801,7806,0.06
December 31 2025,Island,WA,Truck,128,0,128,20171,20299,0.63
October 31 2020,Albemarle,VA,Passenger,1,0,1,23,24,4.17
April 30 2020,San Juan,WA,Passenger,295,89,384,14134,14518,2.64
October 31 2025,Hamilton,OH,Passenger,2,0,2,37,39,5.13
May 31 2017,Douglas,WA,Passenger,32,23,55,26669,26724,0.21
October 31 2020,Montgomery,AL,Passenger,1,1,2,35,37,5.41
June 30 2019,Owyhee,ID,Passenger,1,0,1,5,6,16.67
November 30 2020,El Dorado,CA,Passenger,1,0,1,45,46,2.17
November 30 2018,Pima,AZ,Passenger,1,1,2,450,452,0.44
June 30 2018,Hennepin,MN,Passenger,1,0,1,120,121,0.83
September 30 2021,Harnett,NC,Passenger,1,1,2,186,188,1.06
February 28 2022,Powhatan,VA,Passenger,1,0,1,1,2,50
March 31 2024,Lewis and Clark,MT,Passenger,2,0,2,19,21,9.52
January 31 2025,Benton,WA,Truck,84,0,84,43095,43179,0.19
January 31 2020,El Paso,TX,Passenger,2,0,2,451,453,0.44
September 30 2022,Klickitat,WA,Passenger,107,54,161,15080,15241,1.06
August 31 2023,San Francisco,CA,Passenger,4,1,5,106,111,4.5
October 31 2025,Rockingham,VA,Passenger,1,0,1,2,3,33.33
January 31 2017,Pend Oreille,WA,Truck,0,0,0,5590,5590,0
May 31 2017,Maui,HI,Passenger,1,0,1,72,73,1.37
January 31 2025,Columbia,GA,Passenger,1,1,2,81,83,2.41
January 31 2022,Wilson,NC,Passenger,1,0,1,2,3,33.33
February 28 2026,Los Angeles,CA,Passenger,8,7,15,531,546,2.75
April 30 2024,Honolulu,HI,Passenger,7,2,9,350,359,2.51
March 31 2025,Los Angeles,CA,Passenger,17,5,22,687,709,3.1
November 30 2025,Solano,CA,Passenger,3,0,3,150,153,1.96
April 30 2023,Larimer,CO,Passenger,1,0,1,56,57,1.75
January 31 2019,Washtenaw,MI,Passenger,1,0,1,41,42,2.38
January 31 2025,Henrico,VA,Passenger,1,2,3,18,21,14.29
September 30 2022,Spokane,WA,Truck,13,0,13,101590,101603,0.01
January 31 2025,Kootenai,ID,Passenger,3,3,6,150,156,3.85
April 30 2020,Eagle,CO,Passenger,1,0,1,8,9,11.11
August 31 2025,Solano,CA,Passenger,3,0,3,159,162,1.85
July 31 2021,Essex,MA,Passenger,1,0,1,23,24,4.17
October 31 2020,Nassau,NY,Passenger,5,0,5,34,39,12.82
May 31 2025,Collin,TX,Passenger,6,1,7,60,67,10.45
April 30 2022,Brevard,FL,Passenger,0,1,1,82,83,1.2
March 31 2022,Ferry,WA,Passenger,17,3,20,4415,4435,0.45
February 28 2023,Hennepin,MN,Passenger,0,2,2,67,69,2.9
March 31 2019,Chelan,WA,Truck,0,0,0,22114,22114,0
September 30 2024,Monmouth,NJ,Passenger,1,0,1,19,20,5
August 31 2025,Blaine,ID,Passenger,1,0,1,5,6,16.67
February 28 2017,Arlington,VA,Passenger,1,1,2,185,187,1.07
December 31 2020,Carroll,MD,Passenger,0,1,1,21,22,4.55
June 30 2024,Bexar,TX,Passenger,4,3,7,419,426,1.64
June 30 2024,Caddo,LA,Passenger,3,0,3,14,17,17.65
August 31 2018,Benton,WA,Passenger,189,198,387,132137,132524,0.29
March 31 2019,Arlington,VA,Passenger,1,2,3,175,178,1.69
August 31 2025,Madison,IL,Passenger,1,0,1,8,9,11.11
April 30 2024,St. Mary's,MD,Passenger,4,1,5,211,216,2.31
August 31 2020,Howard,IN,Passenger,0,1,1,4,5,20
July 31 2020,Fulton,GA,Passenger,1,3,4,111,115,3.48
April 30 2017,St. Lucie,FL,Passenger,1,0,1,32,33,3.03
April 30 2020,Arapahoe,CO,Passenger,1,0,1,151,152,0.66
February 29 2020,Maui,HI,Passenger,2,0,2,38,40,5
May 31 2021,Bucks,PA,Passenger,1,0,1,21,22,4.55
November 30 2023,Franklin,WA,Passenger,374,158,532,62170,62702,0.85
October 31 2020,Bexar,TX,Passenger,3,5,8,638,646,1.24
July 31 2019,San Diego,CA,Passenger,11,3,14,2764,2778,0.5
September 30 2022,Cumberland,NC,Passenger,0,2,2,393,395,0.51
December 31 2023,Kittitas,WA,Truck,24,0,24,14590,14614,0.16
May 31 2024,Cumberland,PA,Passenger,1,0,1,45,46,2.17
July 31 2022,Carroll,MD,Passenger,0,1,1,23,24,4.17
April 30 2019,Valencia,NM,Passenger,1,0,1,10,11,9.09
November 30 2022,San Luis Obispo,CA,Passenger,2,1,3,69,72,4.17
May 31 2025,Brevard,FL,Passenger,1,1,2,66,68,2.94
October 31 2021,Polk,FL,Passenger,1,0,1,77,78,1.28
September 30 2024,Fairfax,VA,Truck,1,0,1,87,88,1.14
April 30 2018,Douglas,WA,Passenger,41,32,73,27424,27497,0.27
November 30 2022,Miami-Dade,FL,Passenger,1,0,1,109,110,0.91
December 31 2025,Benton,WA,Truck,135,0,135,42595,42730,0.32
November 30 2020,Dallas,TX,Passenger,1,0,1,205,206,0.49
January 31 2018,Lincoln,WA,Truck,0,0,0,4504,4504,0
September 30 2025,Providence,RI,Passenger,1,0,1,19,20,5
July 31 2020,Utah,UT,Passenger,1,1,2,164,166,1.2
November 30 2024,Christian,MO,Passenger,0,1,1,8,9,11.11
October 31 2024,Falls Church,VA,Passenger,1,0,1,7,8,12.5
February 28 2021,Tulsa,OK,Passenger,1,0,1,59,60,1.67
June 30 2019,Island,WA,Passenger,317,241,558,63230,63788,0.87
September 30 2019,Pacific,WA,Truck,0,0,0,7666,7666,0
November 30 2023,Douglas,CO,Passenger,1,3,4,65,69,5.8
November 30 2025,Hernando,FL,Passenger,1,0,1,7,8,12.5
May 31 2019,Cowlitz,WA,Truck,0,0,0,28837,28837,0
July 31 2019,Whatcom,WA,Passenger,883,434,1317,150976,152293,0.86
November 30 2023,Hudson,NJ,Passenger,3,0,3,41,44,6.82
March 31 2023,San Juan,WA,Truck,10,0,10,5901,5911,0.17
April 30 2019,Asotin,WA,Truck,0,0,0,6625,6625,0
May 31 2021,Walla Walla,WA,Passenger,110,71,181,36490,36671,0.49
November 30 2023,Maui,HI,Passenger,2,0,2,24,26,7.69
August 31 2021,Lake,IL,Passenger,3,0,3,177,180,1.67
March 31 2023,Snohomish,WA,Passenger,11279,2896,14175,527684,541859,2.62
March 31 2024,Whitman,WA,Truck,10,0,10,8596,8606,0.12
February 28 2019,Hennepin,MN,Passenger,2,0,2,121,123,1.63
October 31 2025,Cowlitz,WA,Passenger,1021,357,1378,70109,71487,1.93
June 30 2023,Asotin,WA,Passenger,36,21,57,12317,12374,0.46
May 31 2024,Muscogee,GA,Passenger,2,2,4,127,131,3.05
March 31 2021,Spartanburg,SC,Passenger,0,1,1,55,56,1.79
January 31 2025,Otero,NM,Passenger,0,1,1,25,26,3.85
February 28 2023,Williamson,TN,Passenger,0,1,1,22,23,4.35
November 30 2022,Leavenworth,KS,Passenger,1,1,2,87,89,2.25
March 31 2023,Asotin,WA,Passenger,32,21,53,12333,12386,0.43
January 31 2025,Clark,WA,Truck,326,0,326,80885,81211,0.4
December 31 2024,Webb,TX,Passenger,1,0,1,3,4,25
July 31 2023,York,VA,Passenger,1,0,1,83,84,1.19
December 31 2022,Franklin,WA,Passenger,251,120,371,61595,61966,0.6
May 31 2023,Wayne,MI,Passenger,0,1,1,40,41,2.44
September 30 2019,Pend Oreille,WA,Truck,0,0,0,5703,5703,0
August 31 2017,Lewis,WA,Passenger,55,40,95,55799,55894,0.17
February 28 2025,Monroe,NY,Passenger,1,0,1,22,23,4.35
October 31 2023,Tom Green,TX,Passenger,0,1,1,18,19,5.26
December 31 2021,Miami-Dade,FL,Passenger,1,0,1,124,125,0.8
June 30 2022,Yolo,CA,Passenger,1,0,1,41,42,2.38
September 30 2024,Osceola,FL,Passenger,1,0,1,32,33,3.03
April 30 2020,Klamath,OR,Passenger,1,0,1,40,41,2.44
March 31 2020,Jones,GA,Passenger,1,0,1,1,2,50
May 31 2018,San Juan,WA,Truck,0,0,0,5694,5694,0
July 31 2025,St. Clair,IL,Passenger,1,2,3,97,100,3
October 31 2023,Kane,IL,Passenger,1,1,2,9,11,18.18
May 31 2019,Spartanburg,SC,Passenger,0,1,1,41,42,2.38
October 31 2023,Salt Lake,UT,Passenger,5,2,7,171,178,3.93
August 31 2019,Skamania,WA,Truck,0,0,0,4075,4075,0
July 31 2023,Wichita,TX,Passenger,1,0,1,38,39,2.56
July 31 2021,Bartow,GA,Passenger,0,1,1,4,5,20
March 31 2025,Santa Cruz,AZ,Passenger,1,0,1,4,5,20
February 28 2026,Mason,WA,Truck,68,0,68,19362,19430,0.35
June 30 2019,Manatee,FL,Passenger,1,0,1,44,45,2.22
March 31 2023,Santa Cruz,CA,Passenger,1,0,1,27,28,3.57
July 31 2025,Christian,MO,Passenger,0,1,1,5,6,16.67
August 31 2024,Multnomah,OR,Passenger,11,2,13,557,570,2.28
March 31 2020,Alameda,CA,Passenger,2,1,3,308,311,0.96
October 31 2018,Pacific,WA,Truck,0,0,0,7623,7623,0
December 31 2024,Solano,CA,Passenger,4,0,4,172,176,2.27
November 30 2021,Anchorage,AK,Passenger,1,0,1,157,158,0.63
June 30 2023,Adams,WA,Truck,3,0,3,5344,5347,0.06
December 31 2024,Brown,WI,Passenger,1,0,1,6,7,14.29
November 30 2025,Barnstable,MA,Passenger,1,0,1,10,11,9.09
July 31 2024,Harford,MD,Passenger,4,1,5,55,60,8.33
September 30 2024,Philadelphia,PA,Passenger,0,1,1,65,66,1.52
July 31 2025,Fort Bend,TX,Passenger,2,0,2,17,19,10.53
May 31 2024,DeKalb,GA,Truck,1,0,1,0,1,100
January 31 2023,Collier,FL,Passenger,1,0,1,20,21,4.76
January 31 2024,Whatcom,WA,Truck,90,0,90,42343,42433,0.21
October 31 2024,Albemarle,VA,Passenger,2,0,2,20,22,9.09
January 31 2018,Skamania,WA,Truck,0,0,0,3900,3900,0
December 31 2019,Tulsa,OK,Passenger,1,0,1,63,64,1.56
December 31 2024,Barnstable,MA,Passenger,1,0,1,14,15,6.67
March 31 2024,New London,CT,Passenger,1,3,4,211,215,1.86
April 30 2024,San Francisco,CA,Passenger,1,1,2,96,98,2.04
June 30 2024,Kings,NY,Passenger,3,0,3,59,62,4.84
April 30 2023,Mercer,NJ,Passenger,0,1,1,17,18,5.56
December 31 2017,Jefferson,WA,Passenger,121,74,195,24267,24462,0.8
April 30 2024,Lee,AL,Passenger,1,0,1,19,20,5
June 30 2025,Pottawatomie,KS,Passenger,1,0,1,5,6,16.67
October 31 2024,Shelby,AL,Passenger,1,0,1,3,4,25
January 31 2021,Miami-Dade,FL,Passenger,1,0,1,124,125,0.8
June 30 2025,Montgomery,OH,Passenger,0,1,1,43,44,2.27
May 31 2019,Tarrant,TX,Passenger,3,0,3,228,231,1.3
February 28 2023,Ferry,WA,Passenger,21,4,25,4334,4359,0.57
November 30 2021,Carroll,MD,Passenger,0,1,1,23,24,4.17
August 31 2019,Sumter,FL,Passenger,0,1,1,9,10,10
January 31 2024,Pinellas,FL,Passenger,2,0,2,68,70,2.86
June 30 2025,Harford,MD,Passenger,4,0,4,47,51,7.84
February 28 2018,Stevens,WA,Truck,0,0,0,18381,18381,0
February 28 2025,Orange,CA,Passenger,14,3,17,391,408,4.17
February 29 2024,Hennepin,MN,Passenger,0,1,1,53,54,1.85
August 31 2024,St. Clair,IL,Passenger,1,2,3,108,111,2.7
January 31 2017,Collin,TX,Passenger,0,1,1,165,166,0.6
December 31 2025,Columbia,GA,Passenger,1,1,2,67,69,2.9
February 28 2019,Shelby,TN,Passenger,0,1,1,106,107,0.93
July 31 2024,Montgomery,OH,Passenger,0,1,1,54,55,1.82
April 30 2022,Maui,HI,Passenger,2,0,2,26,28,7.14
May 31 2019,Benton,WA,Truck,0,0,0,41815,41815,0
October 31 2021,Fresno,CA,Passenger,2,0,2,194,196,1.02
November 30 2020,Calvert,MD,Passenger,0,2,2,94,96,2.08
July 31 2020,Los Angeles,CA,Passenger,8,12,20,1108,1128,1.77
February 28 2017,Maricopa,AZ,Passenger,2,1,3,2008,2011,0.15
August 31 2022,Onslow,NC,Passenger,1,1,2,160,162,1.23
December 31 2022,Middlesex,NJ,Passenger,1,0,1,24,25,4
January 31 2024,Denver,CO,Passenger,2,0,2,102,104,1.92
March 31 2021,Powhatan,VA,Passenger,1,0,1,2,3,33.33
August 31 2020,Travis,TX,Passenger,4,2,6,214,220,2.73
August 31 2020,Bartow,GA,Passenger,0,1,1,5,6,16.67
March 31 2018,Lincoln,WA,Passenger,2,6,8,7568,7576,0.11
January 31 2020,Denver,CO,Passenger,1,0,1,144,145,0.69
May 31 2023,Cowlitz,WA,Truck,8,0,8,28237,28245,0.03
July 31 2021,Yolo,CA,Passenger,1,0,1,43,44,2.27
May 31 2019,Pierce,WA,Truck,0,0,0,139510,139510,0
November 30 2019,Honolulu,HI,Passenger,4,2,6,532,538,1.12
January 31 2023,Charles,MD,Passenger,1,1,2,67,69,2.9
November 30 2023,St. Clair,IL,Passenger,1,2,3,114,117,2.56
August 31 2024,Christian,MO,Passenger,0,1,1,9,10,10
October 31 2020,Walla Walla,WA,Truck,0,0,0,13774,13774,0
November 30 2020,Pend Oreille,WA,Truck,0,0,0,5709,5709,0
September 30 2019,San Francisco,CA,Passenger,2,2,4,122,126,3.17
July 31 2017,Adams,WA,Passenger,3,3,6,12175,12181,0.05
September 30 2024,Gwinnett,GA,Passenger,3,0,3,54,57,5.26
November 30 2019,Virginia Beach,VA,Passenger,1,0,1,710,711,0.14
April 30 2024,Lexington,SC,Passenger,2,0,2,19,21,9.52
August 31 2024,Fort Bend,TX,Passenger,2,0,2,21,23,8.7
December 31 2023,Virginia Beach,VA,Truck,1,0,1,127,128,0.78
October 31 2023,Bexar,TX,Passenger,3,3,6,465,471,1.27
October 31 2024,Ada,ID,Passenger,2,0,2,168,170,1.18
March 31 2022,Williamsburg,VA,Passenger,0,1,1,7,8,12.5
July 31 2024,Berkeley,SC,Passenger,2,2,4,112,116,3.45
October 31 2017,Morris,NJ,Passenger,1,0,1,21,22,4.55
June 30 2025,Los Angeles,CA,Passenger,15,5,20,647,667,3
April 30 2024,Medina,OH,Passenger,1,0,1,4,5,20
November 30 2023,Kittitas,WA,Passenger,447,119,566,29327,29893,1.89
February 29 2024,Deschutes,OR,Passenger,1,1,2,109,111,1.8
February 28 2023,San Juan,WA,Passenger,576,173,749,13847,14596,5.13
January 31 2021,Columbia,WA,Truck,0,0,0,1545,1545,0
November 30 2021,Ulster,NY,Passenger,1,0,1,18,19,5.26
June 30 2020,Valencia,NM,Passenger,1,0,1,8,9,11.11
April 30 2017,Pima,AZ,Passenger,0,2,2,478,480,0.42
October 31 2022,Medina,TX,Passenger,1,0,1,12,13,7.69
August 31 2019,Norfolk,MA,Passenger,1,0,1,41,42,2.38
September 30 2019,Jefferson,WA,Truck,0,0,0,9677,9677,0
October 31 2024,Lincoln,OR,Passenger,2,0,2,33,35,5.71
November 30 2022,Onslow,NC,Passenger,1,1,2,164,166,1.2
October 31 2019,King,WA,Passenger,21344,7388,28732,1394174,1422906,2.02
October 31 2021,Clallam,WA,Truck,1,0,1,22032,22033,0
May 31 2022,Suffolk,VA,Passenger,1,0,1,133,134,0.75
December 31 2022,Douglas,CO,Passenger,1,1,2,89,91,2.2
July 31 2024,Weld,CO,Passenger,3,0,3,16,19,15.79
July 31 2022,Asotin,WA,Passenger,24,19,43,12573,12616,0.34
December 31 2022,Maui,HI,Passenger,2,0,2,31,33,6.06
August 31 2018,Whatcom,WA,Passenger,654,320,974,148167,149141,0.65
October 31 2022,Douglas,WA,Truck,2,0,2,12793,12795,0.02
November 30 2025,Riverside,CA,Passenger,10,3,13,383,396,3.28
May 31 2020,Orange,NC,Passenger,1,0,1,14,15,6.67
November 30 2018,San Mateo,CA,Passenger,2,1,3,143,146,2.05
March 31 2024,Monroe,NY,Passenger,1,0,1,23,24,4.17
June 30 2018,Santa Clara,CA,Passenger,7,0,7,414,421,1.66
November 30 2021,Garfield,WA,Passenger,0,3,3,1343,1346,0.22
July 31 2018,Norfolk,VA,Passenger,2,2,4,325,329,1.22
January 31 2023,Salt Lake,UT,Passenger,2,1,3,181,184,1.63
June 30 2020,New London,CT,Passenger,0,1,1,238,239,0.42
February 28 2019,DeKalb,IN,Passenger,1,0,1,1,2,50
December 31 2018,Jefferson,WA,Truck,0,0,0,9598,9598,0
January 31 2020,Rockingham,NH,Passenger,1,0,1,31,32,3.12
December 31 2024,Riverside,CA,Passenger,12,2,14,475,489,2.86
September 30 2024,Klickitat,WA,Truck,23,0,23,8240,8263,0.28
May 31 2018,Latah,ID,Passenger,0,1,1,82,83,1.2
October 31 2022,Centre,PA,Passenger,1,0,1,10,11,9.09
May 31 2023,Washington,WI,Passenger,1,0,1,1,2,50
May 31 2019,Santa Cruz,CA,Passenger,1,0,1,43,44,2.27
December 31 2022,St. Clair,IL,Passenger,2,1,3,129,132,2.27
June 30 2021,Monterey,CA,Passenger,0,2,2,162,164,1.22
July 31 2023,Pima,AZ,Passenger,2,0,2,265,267,0.75
July 31 2025,Pacific,WA,Truck,17,0,17,7715,7732,0.22
December 31 2021,San Luis Obispo,CA,Passenger,1,1,2,71,73,2.74
December 31 2018,Albemarle,VA,Passenger,1,0,1,23,24,4.17
August 31 2019,Whitman,WA,Passenger,34,44,78,22680,22758,0.34
October 31 2018,Skamania,WA,Passenger,18,12,30,8717,8747,0.34
April 30 2023,Eagle,CO,Passenger,1,0,1,7,8,12.5
May 31 2020,Fulton,GA,Passenger,1,3,4,112,116,3.45
March 31 2023,Spokane,WA,Passenger,2087,996,3083,320877,323960,0.95
February 28 2025,New London,CT,Passenger,1,3,4,200,204,1.96
August 31 2025,Charles,MD,Passenger,2,0,2,53,55,3.64
June 30 2024,Tom Green,TX,Passenger,1,1,2,21,23,8.7
October 31 2017,Pacific,WA,Passenger,14,10,24,15311,15335,0.16
November 30 2017,Spokane,WA,Passenger,291,239,530,299470,300000,0.18
November 30 2024,St. Clair,IL,Passenger,1,2,3,106,109,2.75
June 30 2022,Alexandria,VA,Passenger,4,0,4,131,135,2.96
September 30 2018,Douglas,NE,Passenger,0,1,1,70,71,1.41
July 31 2022,Harrison,MS,Passenger,1,0,1,56,57,1.75
June 30 2021,Spartanburg,SC,Passenger,0,1,1,54,55,1.82
February 28 2026,Snohomish,WA,Truck,895,0,895,113003,113898,0.79
January 31 2019,Charles,MD,Passenger,0,1,1,81,82,1.22
August 31 2024,Will,IL,Passenger,0,1,1,16,17,5.88
July 31 2022,Umatilla,OR,Passenger,0,1,1,77,78,1.28
April 30 2025,DeKalb,GA,Truck,1,0,1,1,2,50
October 31 2025,Newport,RI,Passenger,1,2,3,53,56,5.36
July 31 2025,Calvert,MD,Passenger,0,1,1,64,65,1.54
March 31 2022,Williams,ND,Passenger,0,1,1,8,9,11.11
August 31 2017,Hawaii,HI,Passenger,1,0,1,84,85,1.18
August 31 2019,Thurston,WA,Truck,0,0,0,55383,55383,0
